"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","view_history","success","timeout","failed_images","failed_audio","failed_video","stimulus_file","language","correct_response","trial_part","correct"
"10231","{""prolific_id"":""68378ae158654a68e5b29f74""}","survey-html-form","0","10247","0.0-0.0","","","","","","","","","","","",""
"13842","0","html-button-response","1","24094","0.0-1.0","
      <p style=""font-size:0.6em; text-align:center; margin-top:1em; padding: 1em"">
        Note: The consent form below is designed to cover multiple studies, and therefore includes references to a communication ""partner."" <br> However, this is not applicable to the current study you are about to participate in. <br>
        Please disregard any statements referring to group work or partners. All other information in the consent form applies to this study.
      </p>
      <div style=""font-size:0.7em; max-width:800px; max-height:600px; overflow-y:auto; 
                  border:1px solid #ccc; padding:1em; margin:auto;"">
        
    <h3 style=""text-align:center;"">STANFORD UNIVERSITY</h3>
    <h2 style=""text-align:center; margin-top:0;"">Research Consent Form</h2>

    <p><strong>Protocol Director:</strong> Robert Hawkins</p>
    <p><strong>Protocol Title:</strong> Communication and social cognition in natural audiovisual contexts</p>
    <p><strong>IRB#:</strong> 77226</p>

    <p><strong>DESCRIPTION:</strong> You are invited to participate in a research study about language and communication. The purpose of the research is to understand how you interact and communicate with other people in naturalistic settings as a fluent English speaker. This research will be conducted through the Prolific platform, including participants from the US, UK, and Canada. If you decide to participate in this research, you will play a communication game in a group with one or more partners.</p>

    <p><strong>TIME INVOLVEMENT:</strong> The task will last the amount of time advertised on Prolific. You are free to withdraw from the study at any time.</p>

    <p><strong>RISKS AND BENEFITS:</strong> You may become frustrated if your partner gets distracted, or experience discomfort if other participants in your group send text that is inappropriate for the task. We ask you to please be respectful of other participants you might be interacting with to mitigate these risks. You may also experience discomfort when being asked to discuss or challenge emotionally salient political beliefs. Study data will be stored securely, in compliance with Stanford University standards, minimizing the risk of confidentiality breach. This study advances our scientific understanding of how people communicate and collaborate in naturalistic settings. This study may lead to further insights about what can go wrong in teamwork, suggest potential interventions to overcome these barriers, and help to develop assistive technologies that collaborate with human partners. We cannot and do not guarantee or promise that you will receive any benefits from this study.</p>

    <p><strong>PAYMENTS:</strong> You will receive payment in the amount advertised on Prolific. If you do not complete this study, you will receive prorated payment based on the time that you have spent. Additionally, you may be eligible for bonus payments as described in the instructions.</p>

    <p><strong>PARTICIPANT’S RIGHTS:</strong> If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. The alternative is not to participate. You have the right to refuse to answer particular questions. The results of this research study may be presented at scientific or professional meetings or published in scientific journals. Your individual privacy will be maintained in all published and written data resulting from the study. In accordance with scientific norms, the data from this study may be used or shared with other researchers for future research (after removing personally identifying information) without additional consent from you.</p>

    <p><strong>CONTACT INFORMATION:</strong><br>
      <strong>Questions:</strong><br>
      If you have any questions, concerns, or complaints about this research, its procedures, risks, and benefits, contact the Protocol Director, Robert Hawkins (rdhawkins@stanford.edu, 217-549-6923).<br>
      <strong>Independent Contact:</strong><br>
      If you are not satisfied with how this study is being conducted, or if you have concerns, complaints, or general questions about the research or your rights as a participant, please contact the Stanford Institutional Review Board (IRB) to speak to someone independent of the research team at 650-723-2480 or toll free at 1-866-680-2906, or email at irbnonmed@stanford.edu. You can also write to the Stanford IRB, Stanford University, 1705 El Camino Real, Palo Alto, CA 94306. Please save or print a copy of this page for your records.
    </p>

    <p style=""text-align:center; font-style:italic; margin-top:1em;"">
      If you agree to participate in this research, please click “I Agree” to continue.
    </p>
  
      </div>
      <p style=""text-align:center; margin-top:1em; padding: 1em"">
        By clicking “I Agree,” you confirm that you have read the above and agree to participate.
      </p>
    ","","","","","","","","","","",""
"73854","","instructions","2","97951","0.0-2.0","","[{""page_index"":0,""viewing_time"":2548},{""page_index"":1,""viewing_time"":12111},{""page_index"":2,""viewing_time"":2756},{""page_index"":3,""viewing_time"":5533},{""page_index"":4,""viewing_time"":3252},{""page_index"":5,""viewing_time"":15042},{""page_index"":6,""viewing_time"":4692},{""page_index"":7,""viewing_time"":8022},{""page_index"":8,""viewing_time"":5338},{""page_index"":9,""viewing_time"":1057},{""page_index"":10,""viewing_time"":13504}]","","","","","","","","","",""
"","","preload","3","179131","0.0-3.0","","","true","false","[]","[]","[]","","","","",""
"null","null","audio-keyboard-response","4","183569","0.0-4.0","stim/final_stim_scaled/japanese_happy__F1_happy_regular_31__cut_intscaled.wav","","","","","","","stim/final_stim_scaled/japanese_happy__F1_happy_regular_31__cut_intscaled.wav","","","",""
"2526","3","html-button-response","5","186100","0.0-5.0","<p>Which emotion did the speaker express?</p>","","","","","","","stim/final_stim_scaled/japanese_happy__F1_happy_regular_31__cut_intscaled.wav","japanese","Happy","choice","false"
"null","null","audio-keyboard-response","6","190029","0.0-6.0","stim/final_stim_scaled/french_neutral__08-N-1-2_intscaled.wav","","","","","","","stim/final_stim_scaled/french_neutral__08-N-1-2_intscaled.wav","","","",""
"3589","5","html-button-response","7","193621","0.0-7.0","<p>Which emotion did the speaker express?</p>","","","","","","","stim/final_stim_scaled/french_neutral__08-N-1-2_intscaled.wav","french","Neutral","choice","true"
"null","null","audio-keyboard-response","8","196479","0.0-8.0","stim/final_stim_scaled/japanese_angry__M1_anger_regular_05__cut_intscaled.wav","","","","","","","stim/final_stim_scaled/japanese_angry__M1_anger_regular_05__cut_intscaled.wav","","","",""
"1516","2","html-button-response","9","197999","0.0-9.0","<p>Which emotion did the speaker express?</p>","","","","","","","stim/final_stim_scaled/japanese_angry__M1_anger_regular_05__cut_intscaled.wav","japanese","Angry","choice","true"
"null","null","audio-keyboard-response","10","201378","0.0-10.0","stim/final_stim_scaled/greek_angry__a17 (2)_intscaled.wav","","","","","","","stim/final_stim_scaled/greek_angry__a17 (2)_intscaled.wav","","","",""
"1620","2","html-button-response","11","203002","0.0-11.0","<p>Which emotion did the speaker express?</p>","","","","","","","stim/final_stim_scaled/greek_angry__a17 (2)_intscaled.wav","greek","Angry","choice","true"
"null","null","audio-keyboard-response","12","206728","0.0-12.0","stim/final_stim_scaled/greek_fear__f12 (3)_intscaled.wav","","","","","","","stim/final_stim_scaled/greek_fear__f12 (3)_intscaled.wav","","","",""
"1066","3","html-button-response","13","207798","0.0-13.0","<p>Which emotion did the speaker express?</p>","","","","","","","stim/final_stim_scaled/greek_fear__f12 (3)_intscaled.wav","greek","Fear","choice","true"
"null","null","audio-keyboard-response","14","211958","0.0-14.0","stim/final_stim_scaled/greek_sad__s01 (1)_intscaled.wav","","","","","","","stim/final_stim_scaled/greek_sad__s01 (1)_intscaled.wav","","","",""
"1393","1","html-button-response","15","213354","0.0-15.0","<p>Which emotion did the speaker express?</p>","","","","","","","stim/final_stim_scaled/greek_sad__s01 (1)_intscaled.wav","greek","Sad","choice","true"
"null","null","audio-keyboard-response","16","217048","0.0-16.0","stim/final_stim_scaled/french_surprise__05-S-2-1_intscaled.wav","","","","","","","stim/final_stim_scaled/french_surprise__05-S-2-1_intscaled.wav","","","",""
"1546","2","html-button-response","17","218597","0.0-17.0","<p>Which emotion did the speaker express?</p>","","","","","","","stim/final_stim_scaled/french_surprise__05-S-2-1_intscaled.wav","french","Surprise","choice","false"
"null","null","audio-keyboard-response","18","222298","0.0-18.0","stim/final_stim_scaled/french_angry__08-C-2-4_intscaled.wav","","","","","","","stim/final_stim_scaled/french_angry__08-C-2-4_intscaled.wav","","","",""
"1457","4","html-button-response","19","223759","0.0-19.0","<p>Which emotion did the speaker express?</p>","","","","","","","stim/final_stim_scaled/french_angry__08-C-2-4_intscaled.wav","french","Angry","choice","false"
"null","null","audio-keyboard-response","20","228927","0.0-20.0","stim/final_stim_scaled/french_angry__10-C-2-2_intscaled.wav","","","","","","","stim/final_stim_scaled/french_angry__10-C-2-2_intscaled.wav","","","",""
"1207","2","html-button-response","21","230136","0.0-21.0","<p>Which emotion did the speaker express?</p>","","","","","","","stim/final_stim_scaled/french_angry__10-C-2-2_intscaled.wav","french","Angry","choice","true"
"null","null","audio-keyboard-response","22","234568","0.0-22.0","stim/final_stim_scaled/french_sad__03-T-2-1_intscaled.wav","","","","","","","stim/final_stim_scaled/french_sad__03-T-2-1_intscaled.wav","","","",""
"1330","1","html-button-response","23","235900","0.0-23.0","<p>Which emotion did the speaker express?</p>","","","","","","","stim/final_stim_scaled/french_sad__03-T-2-1_intscaled.wav","french","Sad","choice","true"
"null","null","audio-keyboard-response","24","240507","0.0-24.0","stim/final_stim_scaled/thai_angry__s001_clip_actor002_script3_2_2b_intscaled.wav","","","","","","","stim/final_stim_scaled/thai_angry__s001_clip_actor002_script3_2_2b_intscaled.wav","","","",""
"2217","5","html-button-response","25","242728","0.0-25.0","<p>Which emotion did the speaker express?</p>","","","","","","","stim/final_stim_scaled/thai_angry__s001_clip_actor002_script3_2_2b_intscaled.wav","thai","Angry","choice","false"
"null","null","audio-keyboard-response","26","245378","0.0-26.0","stim/final_stim_scaled/japanese_fear__F1_fear_regular_03__cut_intscaled.wav","","","","","","","stim/final_stim_scaled/japanese_fear__F1_fear_regular_03__cut_intscaled.wav","","","",""
"2908","3","html-button-response","27","248289","0.0-27.0","<p>Which emotion did the speaker express?</p>","","","","","","","stim/final_stim_scaled/japanese_fear__F1_fear_regular_03__cut_intscaled.wav","japanese","Fear","choice","true"
"null","null","audio-keyboard-response","28","252527","0.0-28.0","stim/final_stim_scaled/french_happy__10-J-2-1_intscaled.wav","","","","","","","stim/final_stim_scaled/french_happy__10-J-2-1_intscaled.wav","","","",""
"2369","0","html-button-response","29","254899","0.0-29.0","<p>Which emotion did the speaker express?</p>","","","","","","","stim/final_stim_scaled/french_happy__10-J-2-1_intscaled.wav","french","Happy","choice","true"
"null","null","audio-keyboard-response","30","260227","0.0-30.0","stim/final_stim_scaled/thai_angry__s008_clip_actor016_script2_2_2b_intscaled.wav","","","","","","","stim/final_stim_scaled/thai_angry__s008_clip_actor016_script2_2_2b_intscaled.wav","","","",""
"1678","3","html-button-response","31","261909","0.0-31.0","<p>Which emotion did the speaker express?</p>","","","","","","","stim/final_stim_scaled/thai_angry__s008_clip_actor016_script2_2_2b_intscaled.wav","thai","Angry","choice","false"
"null","null","audio-keyboard-response","32","267657","0.0-32.0","stim/final_stim_scaled/thai_neutral__s013_clip_actor026_script3_2_1b_intscaled.wav","","","","","","","stim/final_stim_scaled/thai_neutral__s013_clip_actor026_script3_2_1b_intscaled.wav","","","",""
"1587","5","html-button-response","33","269248","0.0-33.0","<p>Which emotion did the speaker express?</p>","","","","","","","stim/final_stim_scaled/thai_neutral__s013_clip_actor026_script3_2_1b_intscaled.wav","thai","Neutral","choice","true"
"null","null","audio-keyboard-response","34","271747","0.0-34.0","stim/final_stim_scaled/japanese_fear__M2_fear_regular_36__cut_intscaled.wav","","","","","","","stim/final_stim_scaled/japanese_fear__M2_fear_regular_36__cut_intscaled.wav","","","",""
"2678","0","html-button-response","35","274428","0.0-35.0","<p>Which emotion did the speaker express?</p>","","","","","","","stim/final_stim_scaled/japanese_fear__M2_fear_regular_36__cut_intscaled.wav","japanese","Fear","choice","false"
"null","null","audio-keyboard-response","36","278617","0.0-36.0","stim/final_stim_scaled/thai_happy__s001_clip_actor002_script2_2_3b_intscaled.wav","","","","","","","stim/final_stim_scaled/thai_happy__s001_clip_actor002_script2_2_3b_intscaled.wav","","","",""
"1235","0","html-button-response","37","279856","0.0-37.0","<p>Which emotion did the speaker express?</p>","","","","","","","stim/final_stim_scaled/thai_happy__s001_clip_actor002_script2_2_3b_intscaled.wav","thai","Happy","choice","true"
"null","null","audio-keyboard-response","38","281887","0.0-38.0","stim/final_stim_scaled/japanese_sad__M1_sad_regular_28__cut_intscaled.wav","","","","","","","stim/final_stim_scaled/japanese_sad__M1_sad_regular_28__cut_intscaled.wav","","","",""
"2614","1","html-button-response","39","284504","0.0-39.0","<p>Which emotion did the speaker express?</p>","","","","","","","stim/final_stim_scaled/japanese_sad__M1_sad_regular_28__cut_intscaled.wav","japanese","Sad","choice","true"
"null","null","audio-keyboard-response","40","289417","0.0-40.0","stim/final_stim_scaled/attentioncheck_fear.mp3","","","","","","","stim/final_stim_scaled/attentioncheck_fear.mp3","","","",""
"1568","3","html-button-response","41","290989","0.0-41.0","<p>Which emotion did the speaker express?</p>","","","","","","","stim/final_stim_scaled/attentioncheck_fear.mp3","","Fear","attention_check","true"
"1568","3","html-button-response","41","290990","0.0-41.0","<p>Which emotion did the speaker express?</p>","","","","","","","stim/final_stim_scaled/attentioncheck_fear.mp3","","Fear","attention_check","true"
